Country,Doses administered per 100 people,Total doses administered,Percent of Population Vaccinated,,per_pop_fully_vacc,
Poland,152,57837829,0.6,60,0.6,60
Portugal,270,27762439,0.95,95,0.87,87
Qatar,268,7603722,0.99,99,0.99,99
Dem. Rep. Congo,15,833210,0.13,13,0.12,12
Romania,87,16827486,0.42,42,0.42,42
Russia,128,184226161,0.61,61,0.55,55
Rwanda,207,26106436,0.84,84,0.73,73
Saint Lucia,67,122977,0.33,33,0.3,30
Saint Vincent and the Grenadines,66,73301,0.34,34,0.29,29
Samoa,228,449439,0.97,97,0.9,90
São Tomé and Príncipe,106,227825,0.59,59,0.48,48
Saudi Arabia,199,68148406,0.79,79,0.74,74
Senegal,17,2709648,0.12,12,0.083,8.3
Serbia,123,8534688,0.48,48,0.47,47
Sierra Leone,79,6158679,0.55,55,0.44,44
Singapore,258,14727569,0.91,91,0.9,90
Slovakia,106,5754313,0.48,48,0.47,47
Slovenia,144,2996643,0.61,61,0.59,59
Solomon Islands,93,625956,0.51,51,0.38,38
Somalia,57,8726329,0.5,50,0.42,42
Somaliland,,,0,,0,
South Africa,65,38050611,0.41,41,0.36,36
South Korea,251,129647782,0.87,87,0.86,86
S. Sudan,21,2310167,0.2,20,0.2,20
Spain,222,104536856,0.88,88,0.87,87
Sri Lanka,184,40116590,0.79,79,0.68,68
Sudan,32,13711970,0.25,25,0.19,19
Suriname,87,505699,0.46,46,0.41,41
Sweden,248,25537528,0.76,76,0.74,74
Switzerland,197,16886862,0.71,71,0.7,70
Syria,29,4940436,0.19,19,0.13,13
Taiwan,272,64721772,0.92,92,0.87,87
Tajikistan,202,18871161,0.57,57,0.55,55
Tanzania,62,35994687,0.54,54,0.5,50
Thailand,205,142635014,0.82,82,0.77,77
Timor-Leste,153,1984560,0.68,68,0.61,61
Togo,42,3396543,0.28,28,0.18,18
Tonga,199,207744,0.88,88,0.74,74
Trinidad and Tobago,113,1580898,0.54,54,0.51,51
Tunisia,113,13241221,0.62,62,0.55,55
Turkey,183,152543341,0.69,69,0.64,64
Turkmenistan,139,8286809,0.63,63,0.62,62
United Arab Emirates,255,24922054,0.99,99,0.99,99
United Kingdom,226,151248820,0.81,81,0.76,76
Uganda,59,26299538,0.43,43,0.29,29
